,subject,Anger1,Anger2,Anger3,Neutral1,Neutral6,Neutral7,Amusement2,Amusement3,Amusement4
73,74,-1.0,-1.0,-1.0,7.037073135375977,5.637823581695557,4.9546427726745605,-1.0,-1.0,-1.0
74,75,3.104135274887085,2.5024564266204834,2.7286643981933594,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
75,76,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.2353668212890625,6.667455196380615,8.573498725891113
76,77,8.085115432739258,7.618210315704346,4.999955177307129,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
77,78,3.7040834426879883,2.093353748321533,2.327984094619751,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
78,79,-1.0,-1.0,-1.0,5.829134464263916,3.870267152786255,5.338632106781006,-1.0,-1.0,-1.0
79,80,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.739938259124756,6.135986328125,6.776319980621338
80,81,-1.0,-1.0,-1.0,4.999955177307129,4.281002521514893,4.427140712738037,-1.0,-1.0,-1.0
81,82,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.791347026824951,7.794904708862305,9.705855369567871
82,83,-1.0,-1.0,-1.0,5.1754302978515625,4.839705944061279,5.1128926277160645,-1.0,-1.0,-1.0
83,84,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.731220722198486,4.404867649078369,4.273777484893799
84,85,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.599958419799805,6.467918872833252,4.404337406158447
85,86,-1.0,-1.0,-1.0,4.943201541900635,4.599958419799805,5.079806327819824,-1.0,-1.0,-1.0
86,87,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.6382551193237305,5.556257724761963,6.137147426605225
87,88,-1.0,-1.0,-1.0,4.91054630279541,5.207190036773682,4.636514663696289,-1.0,-1.0,-1.0
88,89,4.336524963378906,2.3228378295898438,1.5310873985290527,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
89,90,3.156426191329956,3.3416154384613037,1.5920027494430542,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
90,91,-1.0,-1.0,-1.0,5.127843856811523,6.959321022033691,6.074110507965088,-1.0,-1.0,-1.0
91,92,-1.0,-1.0,-1.0,4.969671726226807,4.999955177307129,6.152609825134277,-1.0,-1.0,-1.0
92,93,-1.0,-1.0,-1.0,4.799957275390625,4.999955177307129,4.253908157348633,-1.0,-1.0,-1.0
93,94,6.266077041625977,4.9796833992004395,0.9531075954437256,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
94,95,4.7278289794921875,3.909268379211426,3.1111109256744385,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
95,96,3.535341262817383,3.3375213146209717,1.6096810102462769,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
96,97,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.598196983337402,5.436943054199219,4.917020797729492
97,98,3.5033490657806396,3.894832134246826,2.0476715564727783,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
98,99,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.704512596130371,5.695026874542236,6.8086090087890625
99,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.19991683959961,9.123494148254395,9.899911880493164
100,101,5.082892894744873,2.242419958114624,4.422781467437744,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
101,201,5.111106872558594,4.253481388092041,6.237957954406738,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
102,202,-1.0,-1.0,-1.0,3.573958396911621,3.215949058532715,7.638099193572998,-1.0,-1.0,-1.0
103,203,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.058465480804443,5.985866546630859,7.448451042175293
104,204,4.296499252319336,4.544552803039551,5.173581123352051,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
105,205,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.841866493225098,5.456425666809082,5.646210193634033
106,206,7.410012722015381,4.957592487335205,4.361502170562744,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
107,207,-1.0,-1.0,-1.0,4.820119857788086,7.499933242797852,7.699930667877197,-1.0,-1.0,-1.0
108,208,-1.0,-1.0,-1.0,5.369790077209473,9.414834022521973,9.899911880493164,-1.0,-1.0,-1.0
109,209,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.508864402770996,7.199934959411621,7.902671813964844
110,210,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.484424591064453,6.999937534332275,4.899957180023193
111,211,7.838481426239014,7.599931240081787,8.374857902526855,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
112,212,3.3181047439575195,3.740335702896118,2.5792396068573,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
113,213,-1.0,-1.0,-1.0,5.9948835372924805,3.571528911590576,6.009879112243652,-1.0,-1.0,-1.0
114,214,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.798604488372803,6.004467487335205,5.384809494018555
115,215,4.6118083000183105,4.871367931365967,5.392162322998047,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
116,216,5.724597930908203,5.592706203460693,3.6136634349823,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
117,217,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.494470596313477,6.693217754364014,7.132824897766113
118,218,9.899911880493164,2.8087310791015625,9.899911880493164,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
119,219,-1.0,-1.0,-1.0,5.579529762268066,4.586202144622803,4.657375812530518,-1.0,-1.0,-1.0
120,220,3.8795392513275146,7.599931240081787,6.699939727783203,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
121,221,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.770431518554688,5.674526691436768,6.115035533905029
122,222,-1.0,-1.0,-1.0,8.560081481933594,5.267780780792236,6.096915245056152,-1.0,-1.0,-1.0
123,223,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.165683269500732,5.729197025299072,8.01379680633545
124,224,4.488461017608643,4.699958324432373,4.344212532043457,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
125,225,-1.0,-1.0,-1.0,4.899025917053223,7.797093391418457,5.931568145751953,-1.0,-1.0,-1.0
126,226,-1.0,-1.0,-1.0,5.530097961425781,5.263327598571777,4.599958419799805,-1.0,-1.0,-1.0
127,227,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.494901657104492,6.063336372375488,6.628026008605957
128,228,6.59955358505249,7.334117889404297,4.606985569000244,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
129,229,-1.0,-1.0,-1.0,5.857837677001953,5.599948883056641,7.314517021179199,-1.0,-1.0,-1.0
130,230,6.033140182495117,6.061476230621338,3.2147741317749023,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
131,231,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.039817810058594,6.65669584274292,7.634878158569336
132,232,-1.0,-1.0,-1.0,6.080303192138672,6.815709590911865,8.038530349731445,-1.0,-1.0,-1.0
133,233,-1.0,-1.0,-1.0,5.217644214630127,4.586881160736084,5.446417808532715,-1.0,-1.0,-1.0
134,234,5.149290084838867,4.927134990692139,5.402907848358154,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
135,235,6.119633674621582,2.8999745845794678,3.3733716011047363,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
136,236,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.012394428253174,5.016872406005859,4.916039943695068
137,237,6.234127044677734,6.242318630218506,3.6695306301116943,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
138,238,-1.0,-1.0,-1.0,9.670626640319824,4.844569683074951,9.529071807861328,-1.0,-1.0,-1.0
139,239,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.927894592285156,4.016841888427734,5.1925811767578125
140,240,-1.0,-1.0,-1.0,8.650925636291504,8.874707221984863,3.9004857540130615,-1.0,-1.0,-1.0
141,241,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.406785488128662,7.491097927093506,5.466869831085205
142,242,5.4380998611450195,5.189579010009766,5.154434680938721,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
143,243,-1.0,-1.0,-1.0,7.622095108032227,3.8970563411712646,5.169813632965088,-1.0,-1.0,-1.0
144,244,-1.0,-1.0,-1.0,6.443417549133301,9.899911880493164,8.534234046936035,-1.0,-1.0,-1.0
145,245,5.423227787017822,3.5481786727905273,4.790264129638672,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
146,246,4.999955177307129,4.999955177307129,4.999955177307129,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
147,247,3.191150188446045,3.7907943725585938,6.348092079162598,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
148,248,-1.0,-1.0,-1.0,5.84510612487793,4.977837085723877,5.413961410522461,-1.0,-1.0,-1.0
149,249,7.704571723937988,6.066417694091797,7.404821872711182,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
150,250,6.699939727783203,3.794757604598999,5.956114292144775,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
151,251,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.524415493011475,6.079549312591553,6.607591152191162
152,252,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.256714820861816,9.899911880493164,9.559738159179688
153,253,-1.0,-1.0,-1.0,4.799957275390625,7.473480224609375,7.32210111618042,-1.0,-1.0,-1.0
154,254,-1.0,-1.0,-1.0,8.681825637817383,8.499924659729004,6.267839431762695,-1.0,-1.0,-1.0
155,255,3.9971251487731934,5.318548202514648,3.3434059619903564,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
156,256,-1.0,-1.0,-1.0,7.670551776885986,7.515803813934326,4.615248203277588,-1.0,-1.0,-1.0
157,257,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.975152492523193,5.999185085296631,6.036754131317139
158,258,4.799957275390625,8.238689422607422,8.676302909851074,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
159,259,-1.0,-1.0,-1.0,6.385382652282715,6.799940586090088,5.521844863891602,-1.0,-1.0,-1.0
160,260,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.799957275390625,8.475370407104492,7.308424949645996
161,261,6.700413703918457,6.638599872589111,4.299950122833252,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
162,262,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.162689208984375,6.414567470550537,6.974471569061279
163,263,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.563758373260498,5.065967559814453,5.803824424743652
164,264,4.891334533691406,3.8550145626068115,5.351742744445801,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
165,265,-1.0,-1.0,-1.0,9.899911880493164,9.376595497131348,9.8462495803833,-1.0,-1.0,-1.0
166,266,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.899957180023193,4.8076491355896,5.273760795593262
167,267,-1.0,-1.0,-1.0,6.599865436553955,5.689116954803467,7.148181915283203,-1.0,-1.0,-1.0
168,268,-1.0,-1.0,-1.0,9.899911880493164,6.416626453399658,9.612771034240723,-1.0,-1.0,-1.0
169,269,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.594454765319824,7.727011680603027,8.959650039672852
170,270,-1.0,-1.0,-1.0,5.463589668273926,5.885354995727539,4.955533504486084,-1.0,-1.0,-1.0
171,271,4.699958324432373,6.525988578796387,4.899957180023193,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
172,272,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.9040985107421875,6.063326358795166,6.9768967628479
173,273,4.674030780792236,5.603940486907959,6.224226474761963,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
174,274,4.9749321937561035,4.658405780792236,0.3253445029258728,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
175,275,-1.0,-1.0,-1.0,5.0326666831970215,4.744706153869629,4.397897243499756,-1.0,-1.0,-1.0
176,276,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.866266250610352,5.391768455505371,5.69201135635376
177,277,-1.0,-1.0,-1.0,8.4863862991333,6.30928897857666,4.899957180023193,-1.0,-1.0,-1.0
178,278,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.799957275390625,4.799957275390625,4.799957275390625
179,279,-1.0,-1.0,-1.0,3.7999656200408936,3.9401156902313232,4.230578422546387,-1.0,-1.0,-1.0
180,280,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.671116828918457,7.017893314361572,7.447910308837891
181,281,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.110830307006836,7.0072712898254395,6.2154541015625
182,282,-1.0,-1.0,-1.0,4.599958419799805,6.200131416320801,7.467761039733887,-1.0,-1.0,-1.0
183,283,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.412096977233887,7.381105422973633,5.985786437988281
184,284,-1.0,-1.0,-1.0,5.531743049621582,5.724405765533447,5.23170804977417,-1.0,-1.0,-1.0
185,285,6.799940586090088,5.9999470710754395,4.176785945892334,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
186,286,4.899957180023193,4.074278354644775,3.261540412902832,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
187,287,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.799957275390625,6.336802005767822,5.751468181610107
188,288,-1.0,-1.0,-1.0,5.8456878662109375,7.522439002990723,6.673941135406494,-1.0,-1.0,-1.0
189,289,-1.0,-1.0,-1.0,6.067478656768799,7.193964004516602,3.5999674797058105,-1.0,-1.0,-1.0
190,290,-1.0,-1.0,-1.0,5.658321857452393,5.395481586456299,4.732161521911621,-1.0,-1.0,-1.0
191,291,5.3008012771606445,3.1147541999816895,5.206448078155518,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
192,292,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.617837905883789,6.627932071685791,5.302311420440674
193,293,3.2616381645202637,6.192821025848389,3.467597484588623,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
194,294,4.636673927307129,5.0708208084106445,3.742964506149292,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
195,295,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.508077144622803,3.4141407012939453,5.48691987991333
196,296,5.84130334854126,7.438096046447754,4.103891849517822,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
197,297,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.4878621101379395,7.879818439483643,9.899911880493164
198,298,4.507483005523682,9.899911880493164,9.46512222290039,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
