,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,1,10,9,10,10,11,11,11,11,11,10,10,10,8
0,4,7,7,8,8,8,8,8,8,8,8,8,7,7
0,7,11,10,10,10,10,8,9,8,8,6,6,6,6
0,11,7,6,5,6,6,5,6,5,6,5,5,7,7
0,12,9,9,9,9,9,8,7,7,8,7,7,6,6
0,15,8,8,7,7,7,7,7,7,7,7,7,7,7
0,16,6,7,6,6,7,6,6,6,6,6,6,8,9
0,18,10,9,10,10,8,9,9,9,9,9,10,9,9
0,20,6,5,7,6,7,7,8,8,8,9,8,9,9
0,24,11,10,10,11,10,9,10,9,10,10,9,10,10
0,28,8,8,8,12,11,11,11,11,11,12,12,11,11
0,31,13,16,17,15,14,14,14,15,14,15,14,13,12
0,35,11,11,11,13,13,12,11,12,12,12,11,12,11
0,37,9,8,8,8,7,7,7,7,6,8,8,8,7
0,39,7,7,8,7,8,8,8,8,8,7,7,7,6
0,44,14,13,13,13,13,13,13,13,13,10,6,6,5
0,47,7,6,5,6,5,6,6,6,6,6,5,6,6
0,48,11,11,9,8,9,9,8,9,9,9,9,8,8
0,50,26,24,21,17,17,16,14,13,12,12,12,14,14
0,52,8,7,7,7,7,7,7,7,6,6,5,5,4
0,53,6,6,6,6,5,6,6,6,5,6,6,7,6
0,58,10,9,9,9,9,9,9,9,10,8,8,8,8
0,61,6,5,5,5,5,7,7,7,8,8,8,8,8
0,64,6,6,6,6,6,5,5,5,6,6,5,4,5
0,67,8,7,7,6,6,6,6,6,5,7,7,6,7
0,69,8,8,8,8,8,7,7,8,8,9,9,9,9
0,75,8,7,7,7,7,7,7,7,7,6,7,7,7
0,77,10,8,8,6,6,6,6,6,7,7,7,6,6
0,78,11,14,13,13,12,12,12,11,11,10,10,10,12
0,89,7,8,8,8,9,8,8,8,8,8,10,9,11
0,90,14,13,13,14,14,14,13,13,13,12,12,10,7
0,94,4,6,6,6,7,6,6,6,6,6,6,7,7
0,95,10,15,15,15,16,18,17,18,18,18,17,17,17
0,96,13,13,12,15,16,15,14,13,13,16,17,15,15
0,98,18,18,15,17,20,21,21,19,16,17,18,17,18
0,101,9,9,7,8,9,8,8,9,11,9,10,10,10
0,201,9,10,9,10,9,9,9,9,10,10,9,10,9
0,204,6,6,5,5,4,4,4,4,4,4,4,5,5
0,206,11,11,11,11,11,10,10,10,10,10,10,10,9
0,211,6,5,5,4,3,4,3,3,2,2,2,3,3
0,212,8,7,7,6,6,5,6,5,5,5,5,5,5
0,215,10,10,9,12,12,12,12,11,10,11,11,11,10
0,216,14,13,13,11,9,9,8,7,7,7,6,7,7
0,218,26,26,24,23,19,20,19,16,16,12,12,7,8
0,220,12,11,12,11,11,11,11,11,11,11,10,11,11
0,224,11,12,10,11,12,11,11,11,9,8,8,9,9
0,228,8,8,8,8,8,9,9,8,8,11,10,10,9
0,230,7,7,7,6,6,5,5,5,6,6,6,6,6
0,234,11,12,12,11,10,11,11,9,8,9,7,7,8
0,235,14,15,14,15,13,14,14,13,14,15,15,14,13
0,237,7,6,4,5,5,5,5,6,7,7,6,6,6
0,242,7,6,6,7,6,6,6,6,5,5,5,5,6
0,245,5,4,4,5,4,5,5,5,5,6,5,6,6
0,246,9,10,10,10,10,10,10,9,9,8,8,8,8
0,247,7,7,7,6,6,7,7,7,7,8,8,8,8
0,249,14,12,13,12,11,11,10,10,10,10,12,11,10
0,250,7,7,7,6,6,6,6,5,5,5,6,6,6
0,255,6,5,6,7,6,7,8,7,7,7,7,8,7
0,258,13,13,12,11,7,8,6,6,7,6,6,8,6
0,261,14,12,9,9,8,8,9,10,9,10,9,11,11
0,264,8,9,9,9,9,9,8,9,10,8,8,9,8
0,271,8,8,7,7,7,6,7,6,6,6,6,6,6
0,273,8,9,9,9,7,8,7,6,7,6,6,6,6
0,274,15,15,16,17,14,12,14,13,13,13,13,13,12
0,285,10,10,10,10,10,10,10,12,12,13,12,12,11
0,286,10,10,9,9,9,8,9,9,9,12,12,11,11
0,291,5,5,5,5,6,6,6,6,7,7,7,6,6
0,293,11,10,10,11,8,8,8,6,7,6,6,6,6
0,294,9,7,7,8,11,12,12,13,15,14,14,14,13
0,296,9,8,8,7,7,7,7,6,6,7,7,9,10
0,298,8,10,11,10,12,12,12,13,12,12,12,12,12
