,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,3,10,8,8,8,8,9,10,10,9,9,9,8,10
0,5,10,9,7,7,7,6,6,6,6,5,5,6,6
0,6,8,8,8,9,10,10,10,11,11,11,11,11,12
0,9,15,14,11,11,13,11,13,20,20,20,20,16,17
0,10,10,11,11,11,14,12,13,13,14,14,13,15,15
0,14,10,11,11,11,10,10,10,10,9,8,6,6,6
0,17,10,10,10,9,9,10,10,9,9,11,10,10,10
0,21,6,6,6,6,5,5,5,5,5,5,5,5,5
0,23,7,7,7,8,9,9,9,9,9,9,9,8,8
0,27,9,9,7,7,9,10,10,10,10,9,8,8,7
0,30,7,8,8,8,9,9,9,8,7,7,7,7,6
0,32,6,6,6,7,6,6,6,7,6,7,7,7,8
0,36,12,8,8,8,10,12,12,13,13,13,12,11,12
0,38,6,6,6,6,6,7,8,8,8,7,6,7,5
0,41,6,7,6,6,7,7,6,6,7,6,5,5,5
0,43,9,10,7,8,8,7,6,7,7,6,7,7,7
0,49,12,14,13,13,14,13,13,15,14,12,10,10,11
0,54,6,6,6,7,6,7,7,7,7,8,8,7,8
0,55,5,5,4,4,4,4,4,4,4,4,4,4,5
0,60,12,11,12,12,12,11,10,9,9,9,8,7,10
0,63,10,9,9,8,8,8,10,10,11,9,8,8,8
0,65,10,10,11,12,11,11,11,10,9,10,9,9,9
0,66,8,8,8,7,7,7,6,6,6,6,6,7,7
0,70,13,12,11,12,11,12,12,12,12,11,11,11,10
0,73,10,9,8,6,6,6,6,5,5,4,4,5,5
0,76,11,11,11,11,12,11,11,11,11,12,11,12,11
0,80,9,10,9,8,8,7,7,8,9,8,7,7,6
0,82,9,8,9,9,9,9,8,8,8,7,7,6,5
0,84,11,10,8,10,9,8,8,9,9,9,8,11,10
0,85,13,14,13,12,12,11,12,12,12,12,12,11,11
0,87,10,9,9,9,8,7,8,8,6,7,7,6,6
0,97,12,14,14,15,14,15,17,17,17,17,17,16,18
0,99,8,8,7,7,7,7,7,8,7,7,6,7,6
0,100,8,8,8,7,6,6,6,6,6,6,7,6,8
0,203,11,10,9,8,8,7,7,7,7,7,7,7,6
0,205,5,5,5,5,5,5,5,6,6,5,5,4,4
0,209,9,8,7,7,8,8,8,8,9,8,8,9,8
0,210,17,17,17,16,18,17,18,18,19,15,13,13,8
0,214,9,8,8,7,7,7,7,7,8,7,7,6,6
0,217,9,8,7,8,7,7,8,7,5,5,5,6,5
0,221,11,11,12,11,11,10,11,11,9,9,8,7,8
0,223,11,10,10,10,9,10,9,10,10,10,9,10,9
0,227,12,9,9,8,8,8,8,8,8,8,8,6,6
0,231,10,10,9,8,8,9,9,9,10,9,8,8,7
0,236,11,10,10,10,10,9,9,9,10,9,9,9,9
0,239,10,9,10,10,10,10,9,10,12,10,9,10,10
0,241,9,9,8,8,8,6,6,7,7,7,6,6,6
0,251,9,9,8,8,8,9,10,9,8,8,9,8,8
0,252,7,7,7,8,8,9,9,9,9,8,9,9,8
0,257,12,12,10,10,10,9,10,11,11,10,10,12,11
0,260,9,8,8,9,8,7,8,8,9,9,9,9,9
0,262,11,10,10,10,10,10,10,8,8,8,7,7,7
0,263,10,10,9,9,9,9,9,9,10,10,9,10,10
0,266,5,4,4,4,4,4,4,5,5,5,5,6,5
0,269,8,7,8,7,7,8,9,9,9,9,8,8,7
0,272,10,10,10,11,11,9,10,11,10,10,10,10,11
0,276,9,8,8,6,6,5,5,5,5,6,6,7,7
0,278,9,9,9,9,9,9,9,10,8,10,9,10,10
0,280,7,6,7,7,7,7,7,7,7,8,7,6,6
0,281,19,20,18,18,19,18,18,21,22,22,20,14,13
0,283,7,7,6,7,7,7,7,6,5,5,5,5,5
0,287,8,9,9,10,9,13,14,14,15,14,15,15,16
0,292,7,7,8,7,6,7,6,5,5,5,5,6,6
0,295,9,13,14,14,14,14,13,13,14,16,17,16,15
0,297,7,6,6,5,7,7,7,8,10,10,11,11,12
